Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
1066 MHz,,10 iná,,1 GB,,IPS,1.Nesil,1000M,Android,,0,1,05 GHz,,,,1 TB,Notebook,Äok YÅksek
1066 MHz,,10 iná,,1 GB,,IPS,1.Nesil,1000M,Android,,0,1,05 GHz,,,,1 TB,Notebook,Äok YÅksek
1066 MHz,,10 iná,,1 GB,,IPS,1.Nesil,1000M,Android,,0,1,05 GHz,,,,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR4,2 GB,Harici Ekran Kartç,LED,10. Nesil,1035G1,Windows 10 Home,Var,0,3,6 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,LED,10. Nesil,1035G1,Windows 10 Home,Yok,0,3,6 GHz,1920 x 1080,Yok,12 GB,1 TB,Notebook,DÅüÅk
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Yok (Free Dos),,1,4,5 GHz,1920 x 1080,,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,10. Nesil,10300H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Var,8 GB,256 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Windows 11 Pro,Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Windows 10 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,256 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10. Nesil,10300H,Windows 11 Pro,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
